id_nilai,id_krs,nilai_angka,nilai_huruf,bobot_nilai,ip_semester,ipk_kumulatif,tgl_input
195,195,57.04,C,2.0,2.0,2.51,2026-05-26
196,196,78.93,B+,3.3,2.56,2.59,2026-05-26
197,197,81.75,A-,3.7,2.9,2.69,2026-05-26
198,198,80.49,A-,3.7,3.08,2.78,2026-05-26
199,199,56.11,C,2.0,2.88,2.72,2026-05-26
200,200,78.14,B+,3.3,2.93,2.75,2026-05-26
201,201,94.9,A,4.0,3.08,2.83,2026-05-26
202,202,75.88,B+,3.3,3.3,2.87,2026-05-26
203,203,63.71,C+,2.3,2.8,2.83,2026-05-26
204,204,82.21,A-,3.7,3.1,2.88,2026-05-26
205,205,83.87,A-,3.7,3.25,2.93,2026-05-26
206,206,65.07,B-,2.7,3.14,2.91,2026-05-26
207,207,83.38,A-,3.7,3.7,2.95,2026-05-26
208,208,70.66,B,3.0,3.35,2.95,2026-05-26
209,209,75.01,B+,3.3,3.33,2.97,2026-05-26
210,210,67.4,B-,2.7,3.18,2.96,2026-05-26
211,211,75.4,B+,3.3,3.2,2.97,2026-05-26
212,212,60.09,C+,2.3,2.3,2.94,2026-05-26
213,213,49.42,D,1.0,1.74,2.86,2026-05-26
214,214,72.0,B,3.0,2.02,2.87,2026-05-26
215,215,57.43,C,2.0,2.02,2.84,2026-05-26
216,216,62.4,C+,2.3,2.07,2.82,2026-05-26
217,217,77.86,B+,3.3,3.3,2.84,2026-05-26
218,218,66.88,B-,2.7,2.96,2.83,2026-05-26
219,219,77.79,B+,3.3,3.06,2.84,2026-05-26
220,220,71.38,B,3.0,3.05,2.85,2026-05-26
221,221,72.9,B,3.0,3.04,2.85,2026-05-26
222,222,71.39,B,3.0,3.03,2.86,2026-05-26
223,223,47.34,D,1.0,2.75,2.81,2026-05-26
224,224,58.38,C,2.0,2.0,2.78,2026-05-26
225,225,88.43,A,4.0,3.0,2.82,2026-05-26
226,226,67.21,B-,2.7,2.9,2.81,2026-05-26
227,227,66.02,B-,2.7,2.85,2.81,2026-05-26
228,228,81.74,A-,3.7,3.02,2.83,2026-05-26
229,229,57.48,C,2.0,2.0,2.81,2026-05-26
230,230,76.88,B+,3.3,2.74,2.83,2026-05-26
231,231,78.23,B+,3.3,2.91,2.84,2026-05-26
232,232,60.27,C+,2.3,2.77,2.83,2026-05-26
233,233,55.71,C,2.0,2.62,2.81,2026-05-26
234,234,80.03,A-,3.7,3.7,3.7,2026-05-26
235,235,75.08,B+,3.3,3.5,3.5,2026-05-26
236,236,75.67,B+,3.3,3.45,3.45,2026-05-26
237,237,60.97,C+,2.3,3.14,3.14,2026-05-26
238,238,71.12,B,3.0,3.12,3.12,2026-05-26
239,239,86.65,A,4.0,3.28,3.28,2026-05-26
240,240,91.91,A,4.0,4.0,3.36,2026-05-26
241,241,77.9,B+,3.3,3.58,3.35,2026-05-26
242,242,53.49,D,1.0,2.61,3.06,2026-05-26
243,243,73.35,B,3.0,2.74,3.05,2026-05-26
244,244,76.63,B+,3.3,2.85,3.07,2026-05-26
245,245,71.65,B,3.0,3.0,3.07,2026-05-26
246,246,81.26,A-,3.7,3.35,3.12,2026-05-26
247,247,83.1,A-,3.7,3.44,3.15,2026-05-26
248,248,63.16,C+,2.3,3.06,3.07,2026-05-26
249,249,75.57,B+,3.3,3.11,3.08,2026-05-26
250,250,81.6,A-,3.7,3.21,3.12,2026-05-26
251,251,61.85,C+,2.3,3.11,3.09,2026-05-26
252,252,83.64,A-,3.7,3.7,3.13,2026-05-26
253,253,71.42,B,3.0,3.4,3.13,2026-05-26
254,254,78.74,B+,3.3,3.38,3.13,2026-05-26
255,255,80.77,A-,3.7,3.46,3.16,2026-05-26
256,256,86.52,A,4.0,3.57,3.2,2026-05-26
257,257,92.64,A,4.0,3.64,3.23,2026-05-26
258,258,81.47,A-,3.7,3.7,3.25,2026-05-26
259,259,91.58,A,4.0,3.82,3.27,2026-05-26
260,260,65.14,B-,2.7,3.32,3.24,2026-05-26
261,261,78.99,B+,3.3,3.32,3.25,2026-05-26
262,262,82.86,A-,3.7,3.39,3.26,2026-05-26
263,263,98.72,A,4.0,3.49,3.29,2026-05-26
264,264,76.58,B+,3.3,3.47,3.29,2026-05-26
265,265,96.99,A,4.0,4.0,3.32,2026-05-26
266,266,76.02,B+,3.3,3.7,3.32,2026-05-26
267,267,7.19,E,0.0,2.59,3.22,2026-05-26
268,268,68.15,B-,2.7,2.61,3.21,2026-05-26
269,269,55.66,C,2.0,2.49,3.17,2026-05-26
270,270,72.19,B,3.0,3.0,3.17,2026-05-26
271,271,77.67,B+,3.3,3.15,3.17,2026-05-26
272,272,73.22,B,3.0,3.1,3.17,2026-05-26
273,273,66.74,B-,2.7,3.0,3.16,2026-05-26
274,274,56.2,C,2.0,2.8,3.13,2026-05-26
275,275,47.7,D,1.0,2.59,3.09,2026-05-26
276,276,62.22,C+,2.3,2.54,3.07,2026-05-26
277,277,76.6,B+,3.3,3.3,3.3,2026-05-26
278,278,87.44,A,4.0,3.53,3.53,2026-05-26
279,279,68.7,B-,2.7,3.38,3.38,2026-05-26
280,280,76.73,B+,3.3,3.36,3.36,2026-05-26
281,281,48.0,D,1.0,3.07,3.07,2026-05-26
282,282,75.94,B+,3.3,3.3,3.09,2026-05-26
283,283,61.34,C+,2.3,2.7,2.98,2026-05-26
284,284,75.33,B+,3.3,2.92,3.02,2026-05-26
285,285,60.03,C+,2.3,2.66,2.88,2026-05-26
286,286,70.37,B,3.0,2.72,2.89,2026-05-26
287,287,87.66,A,4.0,2.91,2.98,2026-05-26
288,288,87.48,A,4.0,4.0,3.06,2026-05-26
289,289,99.94,A,4.0,4.0,3.13,2026-05-26
290,290,73.29,B,3.0,3.67,3.12,2026-05-26
291,291,58.3,C,2.0,3.25,3.05,2026-05-26
292,292,81.17,A-,3.7,3.34,3.09,2026-05-26
293,293,72.8,B,3.0,3.0,3.08,2026-05-26
294,294,72.76,B,3.0,3.0,3.08,2026-05-26
295,295,62.66,C+,2.3,2.74,3.04,2026-05-26
296,296,77.04,B+,3.3,2.89,3.05,2026-05-26
297,297,78.72,B+,3.3,2.98,3.06,2026-05-26
298,298,81.85,A-,3.7,3.07,3.08,2026-05-26
299,299,93.82,A,4.0,3.32,3.16,2026-05-26
300,300,72.32,B,3.0,3.0,3.0,2026-05-26
301,301,78.72,B+,3.3,3.15,3.15,2026-05-26
302,302,57.62,C,2.0,2.77,2.77,2026-05-26
303,303,76.38,B+,3.3,2.9,2.9,2026-05-26
304,304,63.21,C+,2.3,2.7,2.7,2026-05-26
305,305,89.9,A,4.0,4.0,2.89,2026-05-26
306,306,51.76,D,1.0,2.5,2.65,2026-05-26
307,307,60.66,C+,2.3,2.43,2.61,2026-05-26
308,308,98.13,A,4.0,2.82,2.75,2026-05-26
309,309,87.11,A,4.0,3.06,2.86,2026-05-26
310,310,57.88,C,2.0,2.88,2.79,2026-05-26
311,311,70.01,B,3.0,3.0,3.0,2026-05-26
312,312,75.59,B+,3.3,3.15,3.15,2026-05-26
313,313,76.56,B+,3.3,3.2,3.2,2026-05-26
314,314,67.45,B-,2.7,3.05,3.05,2026-05-26
315,315,72.88,B,3.0,3.04,3.04,2026-05-26
316,316,68.86,B-,2.7,2.7,2.95,2026-05-26
317,317,56.67,C,2.0,2.47,2.83,2026-05-26
318,318,68.69,B-,2.7,2.53,2.82,2026-05-26
319,319,76.06,B+,3.3,2.68,2.86,2026-05-26
320,320,57.67,C,2.0,2.57,2.79,2026-05-26
321,321,70.02,B,3.0,2.63,2.81,2026-05-26
322,322,78.29,B+,3.3,2.74,2.85,2026-05-26
323,323,68.6,B-,2.7,2.7,2.84,2026-05-26
324,324,68.81,B-,2.7,2.7,2.83,2026-05-26
325,325,62.65,C+,2.3,2.57,2.8,2026-05-26
326,326,77.65,B+,3.3,2.7,2.82,2026-05-26
327,327,58.7,C,2.0,2.55,2.78,2026-05-26
328,328,70.98,B,3.0,3.0,3.0,2026-05-26
329,329,83.72,A-,3.7,3.35,3.35,2026-05-26
330,330,67.69,B-,2.7,3.13,3.13,2026-05-26
331,331,46.84,D,1.0,2.6,2.6,2026-05-26
332,332,83.73,A-,3.7,2.82,2.82,2026-05-26
333,333,62.56,C+,2.3,2.73,2.73,2026-05-26
334,334,58.41,C,2.0,2.63,2.63,2026-05-26
335,335,72.0,B,3.0,3.0,2.68,2026-05-26
336,336,66.92,B-,2.7,2.85,2.68,2026-05-26
337,337,56.43,C,2.0,2.57,2.61,2026-05-26
338,338,83.23,A-,3.7,2.85,2.71,2026-05-26
339,339,63.64,C+,2.3,2.74,2.68,2026-05-26
340,340,67.76,B-,2.7,2.7,2.68,2026-05-26
341,341,33.32,E,0.0,1.35,2.49,2026-05-26
342,342,71.56,B,3.0,1.9,2.52,2026-05-26
343,343,58.1,C,2.0,1.93,2.49,2026-05-26
344,344,82.48,A-,3.7,2.28,2.56,2026-05-26
345,345,60.27,C+,2.3,2.28,2.54,2026-05-26
346,346,66.83,B-,2.7,2.34,2.55,2026-05-26
347,347,94.97,A,4.0,4.0,4.0,2026-05-26
348,348,73.35,B,3.0,3.57,3.57,2026-05-26
349,349,83.37,A-,3.7,3.61,3.61,2026-05-26
350,350,65.47,B-,2.7,3.4,3.4,2026-05-26
351,351,73.98,B,3.0,3.33,3.33,2026-05-26
352,352,83.24,A-,3.7,3.37,3.37,2026-05-26
353,353,77.15,B+,3.3,3.36,3.36,2026-05-26
354,354,59.0,C,2.0,2.0,3.06,2026-05-26
355,355,58.93,C,2.0,2.0,2.95,2026-05-26
356,356,89.63,A,4.0,2.5,3.05,2026-05-26
357,357,99.72,A,4.0,2.71,3.1,2026-05-26
358,358,63.48,C+,2.3,2.64,3.04,2026-05-26
359,359,65.4,B-,2.7,2.65,3.01,2026-05-26
360,360,67.33,B-,2.7,2.7,2.99,2026-05-26
361,361,89.67,A,4.0,3.57,3.11,2026-05-26
362,362,63.65,C+,2.3,3.25,3.07,2026-05-26
363,363,52.83,D,1.0,2.69,2.92,2026-05-26
364,364,50.92,D,1.0,2.42,2.83,2026-05-26
365,365,66.08,B-,2.7,2.7,2.82,2026-05-26
366,366,99.23,A,4.0,3.35,2.87,2026-05-26
367,367,81.91,A-,3.7,3.47,2.91,2026-05-26
368,368,70.43,B,3.0,3.35,2.91,2026-05-26
369,369,53.06,D,1.0,2.57,2.77,2026-05-26
370,370,65.07,B-,2.7,2.7,2.76,2026-05-26
371,371,83.83,A-,3.7,3.27,2.81,2026-05-26
372,372,76.63,B+,3.3,3.28,2.82,2026-05-26
373,373,57.31,C,2.0,2.98,2.8,2026-05-26
374,374,70.95,B,3.0,2.99,2.8,2026-05-26
375,375,99.61,A,4.0,4.0,4.0,2026-05-26
376,376,81.0,A-,3.7,3.85,3.85,2026-05-26
377,377,82.42,A-,3.7,3.8,3.8,2026-05-26
378,378,75.76,B+,3.3,3.68,3.68,2026-05-26
379,379,73.26,B,3.0,3.54,3.54,2026-05-26
380,380,65.53,B-,2.7,2.7,3.4,2026-05-26
381,381,50.17,D,1.0,1.85,3.06,2026-05-26
382,382,60.06,C+,2.3,2.0,2.96,2026-05-26
383,383,80.58,A-,3.7,2.31,3.02,2026-05-26
384,384,76.64,B+,3.3,2.57,3.06,2026-05-26
385,385,75.81,B+,3.3,2.69,3.08,2026-05-26
386,386,75.75,B+,3.3,2.78,3.1,2026-05-26
387,387,91.95,A,4.0,4.0,3.17,2026-05-26
388,388,67.1,B-,2.7,3.35,3.13,2026-05-26
389,389,89.31,A,4.0,3.57,3.19,2026-05-26
390,390,83.08,A-,3.7,3.6,3.22,2026-05-26
391,391,91.82,A,4.0,3.68,3.27,2026-05-26
392,392,77.75,B+,3.3,3.62,3.27,2026-05-26
393,393,47.43,D,1.0,3.24,3.15,2026-05-26
394,394,24.28,E,0.0,0.0,2.99,2026-05-26
395,395,81.48,A-,3.7,1.85,3.03,2026-05-26
396,396,82.63,A-,3.7,2.31,3.05,2026-05-26
397,397,93.51,A,4.0,2.88,3.1,2026-05-26
398,398,56.01,C,2.0,2.7,3.06,2026-05-26
399,399,62.3,C+,2.3,2.63,3.03,2026-05-26
400,400,68.08,B-,2.7,2.7,3.01,2026-05-26
401,401,76.92,B+,3.3,2.94,3.02,2026-05-26
402,402,67.88,B-,2.7,2.85,3.01,2026-05-26
403,403,66.09,B-,2.7,2.81,3.0,2026-05-26
404,404,68.84,B-,2.7,2.79,2.99,2026-05-26
405,405,76.52,B+,3.3,2.9,3.0,2026-05-26
406,406,56.3,C,2.0,2.77,2.97,2026-05-26
407,407,45.15,D,1.0,1.0,1.0,2026-05-26
408,408,65.55,B-,2.7,1.85,1.85,2026-05-26
409,409,76.65,B+,3.3,2.33,2.33,2026-05-26
410,410,63.9,C+,2.3,2.32,2.32,2026-05-26
411,411,75.86,B+,3.3,2.48,2.48,2026-05-26
412,412,85.18,A,4.0,2.7,2.7,2026-05-26
413,413,50.51,D,1.0,1.0,2.49,2026-05-26
414,414,57.15,C,2.0,1.5,2.43,2026-05-26
415,415,71.11,B,3.0,2.0,2.49,2026-05-26
416,416,49.41,D,1.0,1.75,2.35,2026-05-26
417,417,45.9,D,1.0,1.6,2.24,2026-05-26
418,418,77.3,B+,3.3,1.88,2.32,2026-05-26
419,419,63.74,C+,2.3,1.94,2.32,2026-05-26
420,420,78.29,B+,3.3,3.3,2.44,2026-05-26
421,421,60.78,C+,2.3,3.05,2.44,2026-05-26
422,422,81.84,A-,3.7,3.23,2.51,2026-05-26
423,423,65.13,B-,2.7,3.15,2.52,2026-05-26
424,424,68.52,B-,2.7,3.06,2.53,2026-05-26
425,425,80.25,A-,3.7,3.16,2.58,2026-05-26
426,426,96.47,A,4.0,4.0,4.0,2026-05-26
427,427,80.43,A-,3.7,3.85,3.85,2026-05-26
428,428,82.08,A-,3.7,3.8,3.8,2026-05-26
429,429,83.99,A-,3.7,3.77,3.77,2026-05-26
430,430,77.44,B+,3.3,3.68,3.68,2026-05-26
431,431,77.43,B+,3.3,3.62,3.62,2026-05-26
432,432,55.46,C,2.0,2.0,3.4,2026-05-26
433,433,82.8,A-,3.7,2.85,3.44,2026-05-26
434,434,78.64,B+,3.3,3.0,3.42,2026-05-26
435,435,72.16,B,3.0,3.0,3.38,2026-05-26
436,436,80.2,A-,3.7,3.14,3.41,2026-05-26
437,437,70.33,B,3.0,3.12,3.38,2026-05-26
438,438,82.2,A-,3.7,3.2,3.4,2026-05-26
439,439,72.5,B,3.0,3.0,3.37,2026-05-26
440,440,67.19,B-,2.7,2.85,3.33,2026-05-26
441,441,81.11,A-,3.7,3.13,3.35,2026-05-26
442,442,85.17,A,4.0,3.35,3.39,2026-05-26
443,443,57.89,C,2.0,3.08,3.31,2026-05-26
444,444,66.92,B-,2.7,2.7,3.27,2026-05-26
445,445,62.16,C+,2.3,2.53,3.22,2026-05-26
446,446,62.99,C+,2.3,2.46,3.18,2026-05-26
447,447,13.77,E,0.0,1.89,3.04,2026-05-26
448,448,73.01,B,3.0,2.1,3.04,2026-05-26
449,449,73.64,B,3.0,3.0,3.0,2026-05-26
450,450,83.05,A-,3.7,3.35,3.35,2026-05-26
451,451,75.16,B+,3.3,3.33,3.33,2026-05-26
452,452,93.99,A,4.0,3.5,3.5,2026-05-26
453,453,56.51,C,2.0,3.2,3.2,2026-05-26
454,454,75.49,B+,3.3,3.3,3.22,2026-05-26
455,455,62.05,C+,2.3,2.8,3.09,2026-05-26
456,456,66.46,B-,2.7,2.75,3.0,2026-05-26
457,457,75.17,B+,3.3,2.86,3.03,2026-05-26
458,458,88.12,A,4.0,3.05,3.12,2026-05-26
459,459,62.23,C+,2.3,2.94,3.05,2026-05-26
460,460,68.11,B-,2.7,2.91,3.02,2026-05-26
461,461,60.5,C+,2.3,2.3,2.97,2026-05-26
462,462,71.03,B,3.0,2.77,2.98,2026-05-26
463,463,49.49,D,1.0,2.32,2.86,2026-05-26
464,464,82.87,A-,3.7,2.6,2.91,2026-05-26
465,465,71.6,B,3.0,2.67,2.91,2026-05-26
466,466,65.57,B-,2.7,2.67,2.9,2026-05-26
467,467,67.9,B-,2.7,2.68,2.89,2026-05-26
468,468,81.68,A-,3.7,3.7,2.93,2026-05-26
469,469,68.38,B-,2.7,3.2,2.92,2026-05-26
470,470,99.41,A,4.0,3.47,2.96,2026-05-26
